SMILES,canonical_smiles,Activity Comment,Protein Target Name
COc1cc(O)c(C(=O)/C=C/c2ccccc2Cl)c(OC)c1,COc1cc(O)c(c(c1)OC)C(=O)/C=C/c1ccccc1Cl,0,NRF2
O=c1nc(-c2ccccn2)sc2ccccc12,O=c1nc(sc2c1cccc2)c1ccccn1,1,Macrophage migration inhibitory factor
O=C1NC(c2ccccn2)Sc2ccccc21,O=C1NC(Sc2c1cccc2)c1ccccn1,0,Macrophage migration inhibitory factor
COc1ccc2nc3c(c(NCCCCCCCN(CC(=O)NCCc4c[nH]c5ccc(OC)cc45)C(=O)/C=C/c4ccc(O)c(OC)c4)c2c1)CCCC3,COc1ccc2c(c1)c(CCNC(=O)CN(C(=O)/C=C/c1ccc(c(c1)OC)O)CCCCCCCNc1c3CCCCc3nc3c1cc(OC)cc3)c[nH]2,1,NRF2
COc1ccc2nc3c(c(NCCCCCCCCN(CC(=O)NCCc4c[nH]c5ccc(OC)cc45)C(=O)/C=C/c4ccc(O)c(OC)c4)c2c1)CCCC3,COc1ccc2c(c1)c(CCNC(=O)CN(C(=O)/C=C/c1ccc(c(c1)OC)O)CCCCCCCCNc1c3CCCCc3nc3c1cc(OC)cc3)c[nH]2,1,NRF2
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,COc1ccc2c(c1)c(CCNC(=O)C)c[nH]2,1,NRF2
CC(C)(C)c1cc(O)ccc1O,Oc1ccc(c(c1)C(C)(C)C)O,1,NRF2
CC1(C)C(=O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,O=C1C=C2[C@@H]3C[C@](C)(CC[C@]3(C)CC[C@]2([C@]2([C@H]1[C@@]1(C)CCC(=O)C([C@@H]1CC2)(C)C)C)C)C(=O)O,0,Xanthine dehydrogenase
C=C(C)[C@@H]1CC[C@]2(C)[C@H](C(=O)C=C3[C@@H]4C[C@@](C)(C(=O)OCc5ccccc5)CC[C@]4(C)CC[C@]32C)[C@@]1(C)CCC(=O)OC,COC(=O)CC[C@@]1(C)[C@@H](CC[C@@]2([C@@H]1C(=O)C=C1[C@@]2(C)CC[C@@]2([C@H]1C[C@](C)(CC2)C(=O)OCc1ccccc1)C)C)C(=C)C,0,Xanthine dehydrogenase
C=C(C)[C@@H]1CC[C@]2(C)[C@H](C(=O)C=C3[C@@H]4C[C@@](C)(C(=O)NC(C)C)CC[C@]4(C)CC[C@]32C)[C@@]1(C)CCC(=O)OC,COC(=O)CC[C@@]1(C)[C@@H](CC[C@@]2([C@@H]1C(=O)C=C1[C@@]2(C)CC[C@@]2([C@H]1C[C@](C)(CC2)C(=O)NC(C)C)C)C)C(=C)C,0,Xanthine dehydrogenase
O=c1ncnc2[nH][nH]cc1-2,O=c1ncnc2-c1c[nH][nH]2,0,Xanthine dehydrogenase
COc1ccccc1C(=O)/C=C/c1ccccc1C(F)(F)F,COc1ccccc1C(=O)/C=C/c1ccccc1C(F)(F)F,0,NRF2
CC(=O)N[C@@H](CS)C(=O)O,SC[C@@H](C(=O)O)NC(=O)C,0,NRF2
COc1ccc2cc(N(C)C(=O)C3=NO[C@H]4[C@H](O)C=C[C@@H](Cl)[C@@]4(O)C3)c(=O)oc2c1OC,COc1c(OC)ccc2c1oc(=O)c(c2)N(C(=O)C1=NO[C@@H]2[C@@](C1)(O)[C@H](Cl)C=C[C@H]2O)C,1,NRF2
CCN(C)C(=O)Oc1cccc(CNC(=O)CSCCCCN=C=S)c1,S=C=NCCCCSCC(=O)NCc1cccc(c1)OC(=O)N(CC)C,0,NRF2
CCN(C)C(=O)Oc1cccc(NC(=O)CSCCCCN=C=S)c1,S=C=NCCCCSCC(=O)Nc1cccc(c1)OC(=O)N(CC)C,1,NRF2
O=C(O)/C=C/c1cc(OC(=O)/C=C/c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,OC[C@H]1O[C@@H](Oc2ccc(cc2)/C=C/C(=O)Oc2cc(/C=C/C(=O)O)cc(c2)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,1,NRF2
C[S+]([O-])CCCCN=C=S,S=C=NCCCC[S+](C)[O-],1,NRF2
C[S+]([O-])CCCCN=C=[Se],[Se]=C=NCCCC[S+](C)[O-],1,NRF2
C[C@@H](O[Si](C)(C)C(C)(C)C)[C@H]1C(=O)N2/C(=N/c3ccccc3)[Se]/C(=C/I)C[C@H]12,I/C=C/1\C[C@@H]2[C@@H]([C@H](O[Si](C(C)(C)C)(C)C)C)C(=O)N2/C(=N/c2ccccc2)/[Se]1,1,NRF2
